路口;时间;巡警平台;平台;管辖的节点数
21;2.7;13;1;10
22;0.91;13;2;5
23;0.5;13;3;4
24;2.39;13;4;5
25;1.79;12;5;8
26;0.9;11;6;0
27;1.6;11;7;5
28;4.75;15;8;2
29;5.7;15;9;4
30;0.58;7;10;0
31;2;9;11;2
32;1.14;7;12;1
33;0.83;8;13;4
34;0.5;9;14;0
35;0.42;9;15;2
36;0.61;16;16;3
37;1.1;16;17;2
38;3.41;16;18;3
39;3.6;2;19;3
40;1.91;2;20;9
41;0.85;17;;
42;0.98;17;;
43;0.8;2;;
44;0.95;2;;
45;1;9;;
46;0.93;8;;
47;1.28;7;;
48;1.2;7;;
49;0.5;5;;
50;0.85;5;;
51;1.2;5;;
52;1.6;5;;
53;1.1;5;;
54;2.2;3;;
55;1.27;3;;
56;2;5;;
57;1.87;4;;
58;2.1;5;;
59;1.4;5;;
60;1.7;4;;
61;4.1;7;;
62;0.35;4;;
63;1.03;4;;
64;1.9;4;;
65;1.52;3;;
66;1.8;3;;
67;1.6;1;;
68;1.2;1;;
69;0.5;1;;
70;0.86;2;;
71;1.1;1;;
72;1.6;1;;
73;1;1;;
74;0.63;1;;
75;0.93;1;;
76;1.2;1;;
77;0.98;19;;
78;0.64;1;;
79;0.45;19;;
80;0.8;19;;
81;0.67;18;;
82;1;18;;
83;0.54;18;;
84;1.1;20;;
85;0.45;20;;
86;0.36;20;;
87;1.4;20;;
88;1.2;20;;
89;0.95;20;;
90;1.3;20;;
91;1.5;20;;
92;3.5;20;;
