-1 01  0567 0042 0025
-1 02  1487
-1 03  0303 0302
-1 04  0566
-1 05  0436 0438 0437 0435
-1 06  0392 0394 0393 0391
-1 07  0386 0388 0387 0385
-1 08  3068 0617 0619 0618 0616
-1 09  1279
-1 10  2057 0721 0722 0720
-1 11  0070 2361 3721
-1 12  0609 0608
-1 13  2633 0399 0401 0400
-1 14  3321 2535 2464
-1 15  3329 2534
-1 16  3506 0167 0168
-1 17  0237 0239 0238 0236 0540
-1 18  0668
-1 19  0180 0181
-1 20  2079 2933 1919 1921 1920
-1 21  0465 0467 0466 0464
-1 22  3457
-1 23  2512
﻿-1 24  0537 3580
-1 25  0526 0528 0527 0525
-1 26  3045 0605 0607
-1 12  0609 0608
-1 27  0087 0088 0086
-1 28  0855 0856 0854 0857
-1 29  0631 0632 0630
-1 30  3874 1426 1427
-1 31  0211 0539 0541 0540
-1 32  0978 0497 0498
-1 18  0668
-1 33  1894 1896 1895
-1 34  1104 0576 0578 0577
-1 35  3010 0583 0582
-1 36  3676 0427 0061 0060
-1 37  1961 2817 0455 0456
-1 38  3262 0622
-1 39  1956 0289 0291
